"phase","cell_id","method","planned_reps","completed_reps","valid_reps","error_reps","missing_reps","completion_rate","support_target","selector","selected_q","selected_q_sd","selected_eta_only_q","selected_eta_only_q_sd","selected_mu_only_q","selected_mu_only_q_sd","selected_both_q","selected_both_q_sd","selected_null_q","selected_null_q_sd","TPR_P","TPR_P_sd","FPR_P","FPR_P_sd","Precision_P","Precision_P_sd","F1_P","F1_P_sd","TPR_mu","TPR_mu_sd","FPR_mu","FPR_mu_sd","Precision_mu","Precision_mu_sd","F1_mu","F1_mu_sd","TPR_eta","TPR_eta_sd","FPR_eta","FPR_eta_sd","Precision_eta","Precision_eta_sd","F1_eta","F1_eta_sd","exact_P","exact_P_sd","exact_mu","exact_mu_sd","exact_eta","exact_eta_sd","ARI","ARI_sd","NMI","NMI_sd","classification_error","classification_error_sd","Bayes_excess_error","Bayes_excess_error_sd","test_NLL","test_NLL_sd","MSE_mu","MSE_mu_sd","MSE_kappa","MSE_kappa_sd","MSE_eta","MSE_eta_sd","train_loglik","train_loglik_sd","converged","converged_sd","iter","iter_sd","elapsed_sec","elapsed_sec_sd","elapsed_sec_median","elapsed_sec_total"
"core","A_eb025_equal_n1000","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91735115978262,0.00687933580556227,0.874740739754119,0.00873332987642468,0.031658,0.00268874120973538,0.005998,0.00268874120973538,-246.964364530897,0.0490790898563013,0.000407860540866616,1.88983352197402e-05,5.46642338324183,2.18805751077685,0.67921513027842,0.0342379474279914,247772.195861793,90.7485535378329,1,0,9.97,2.28501928466985,2.58049999999999,0.637096277391949,2.37499999999994,258.049999999999
"core","A_eb025_equal_n1000","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917672154297456,0.00679091181056595,0.874988207572804,0.00863601863593828,0.031534,0.00265437393938778,0.005874,0.00265437393938778,-246.965950728177,0.0487759165617075,0.000407693167792162,1.88888255210787e-05,4.55102790192428,2.09946516515939,0.675991825139424,0.034672451602454,247770.725636264,90.8492211669079,1,0,10.92,2.78408173570948,0.880599999999987,0.159828316981351,0.845000000000028,88.0599999999987
"core","A_eb025_equal_n1000","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.02,0.14070529413629,0,0,0,0,16,0,0.02,0.14070529413629,0.8,0,0.000111111111111111,0.000781696078534943,0.998823529411765,0.00827678200801709,0.888408408408409,0.00338030736663758,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,0,0,0.98,0.14070529413629,0.98,0.14070529413629,0.932840444005269,0.00596050668624632,0.894764417895109,0.00786807784420945,0.025618,0.00231710285843457,-4.19999999999999e-05,0.00231710285843457,-247.245465953087,0.0453776112272048,0.000126251017538133,1.11539286543218e-05,1.22980069070705,0.889159941590339,0.0552657136649599,0.0109631550270059,247495.749660384,87.2420429760134,1,0,2.21,0.409360180740332,27.8713,3.59697983723775,27.0650000000001,2787.13
"core","A_eb025_equal_n1000","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.02,0.14070529413629,0,0,0,0,16,0,0.02,0.14070529413629,0.8,0,0.000111111111111111,0.000781696078534943,0.998823529411765,0.00827678200801709,0.888408408408409,0.00338030736663758,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,0,0,0.98,0.14070529413629,0.98,0.14070529413629,0.932835159925435,0.00596558420710261,0.894756612961201,0.00787439931052414,0.02562,0.00231909073090766,-3.99999999999999e-05,0.00231909073090766,-247.245474290315,0.0453784248443971,0.000126232573997735,1.11548944785944e-05,1.23103357569594,0.891122572579771,0.055246831318652,0.0109606424746583,247495.749668882,87.242033762441,1,0,3.28,0.451260859854213,35.3573,3.37681574202021,34.535,3535.73
"core","A_eb025_equal_n1000","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.42,0.741006686265994,0,0,0,0,16,0,183.42,0.741006686265994,1,0,0.996777777777778,0.00411670381258891,0.10029221944208,0.00037405184144343,0.182300852980595,0.000617728806008773,1,0,0.996847826086956,0.00402721025144562,0.0802337755536644,0.00029924147315476,0.148548770498169,0.000512738314571439,1,0,0.996847826086956,0.00402721025144562,0.0802337755536644,0.00029924147315476,0.148548770498169,0.000512738314571439,0,0,0,0,0,0,0.917627594686413,0.00672606698150179,0.875077346408977,0.00853713690051979,0.03155,0.00262765017735342,0.00589,0.00262765017735342,-246.967569234721,0.048871157679883,0.000404687288550156,1.87344896608089e-05,5.41563774903369,2.17986213631762,0.672025315512596,0.0339237884422291,247769.709092979,90.7061049183658,1,0,4.6,0.512470743190538,30.7839,1.81139819593662,30.8099999999999,3078.39
"core","A_eb025_equal_n1000","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917133153279716,0.00662457108725254,0.874285761650251,0.00839533933528171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,9.94,2.76273908878983,0.1891,0.0416598782348995,0.180000000000064,18.91
"core","A_eb025_equal_n300","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863556604012196,0.0127689574316036,0.811906814479981,0.0136111392824693,0.053026,0.00513200730610343,0.027366,0.00513200730610343,-245.906421554125,0.0946542098418116,0.00127012226448912,7.07027308828237e-05,55.1985960386637,12.880038021081,2.50549496580783,0.167527689060611,74628.4318686164,51.7221391315859,1,0,31.59,12.622006595825,1.97059999999999,0.321533007244174,1.90999999999991,197.059999999999
"core","A_eb025_equal_n300","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868660465136946,0.0114947853229176,0.816134943524084,0.013265355497133,0.050996,0.00462089938335722,0.025336,0.00462089938335722,-245.921468267684,0.0947570454949409,0.00126624534695129,7.03499782006533e-05,48.7877087936185,11.1988698724352,2.47054286393752,0.165158845384125,74626.3896304029,51.6704672275002,1,0,32.05,13.4887719862473,0.831000000000005,0.195703857907814,0.799999999999955,83.1000000000005
"core","A_eb025_equal_n300","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.14,0.348735088019777,0,0,0,0,16,0,0.14,0.348735088019777,0.8,0,0.000777777777777778,0.00193741715566543,0.991764705882353,0.0205138287070458,0.885525525525526,0.00837802013260722,1,0,0.000760869565217391,0.00189529939141183,0.991764705882353,0.0205138287070458,0.995757575757576,0.0105677299399932,1,0,0.000760869565217391,0.00189529939141183,0.991764705882353,0.0205138287070458,0.995757575757576,0.0105677299399932,0,0,0.86,0.348735088019777,0.86,0.348735088019777,0.926989769444479,0.00628340273266459,0.88782723075595,0.00780002970058537,0.02789,0.0024411249269734,0.00223,0.0024411249269734,-246.93521353402,0.0558840307932536,0.000413062365203434,3.76547182345378e-05,7.86804905958438,4.34794650722879,0.198274645866579,0.0401718722240374,74341.5722048526,48.768165369601,1,0,3.61,0.566666666666667,32.7133,3.80531660371978,33.42,3271.33
"core","A_eb025_equal_n300","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.14,0.348735088019777,0,0,0,0,16,0,0.14,0.348735088019777,0.8,0,0.000777777777777778,0.00193741715566543,0.991764705882353,0.0205138287070458,0.885525525525526,0.00837802013260722,1,0,0.000760869565217391,0.00189529939141183,0.991764705882353,0.0205138287070458,0.995757575757576,0.0105677299399932,1,0,0.000760869565217391,0.00189529939141183,0.991764705882353,0.0205138287070458,0.995757575757576,0.0105677299399932,0,0,0.86,0.348735088019777,0.86,0.348735088019777,0.927000220465112,0.00627460373674954,0.887839656226832,0.00779106696662789,0.027886,0.00243779251029129,0.002226,0.00243779251029129,-246.935226319382,0.0558886356838179,0.000413053226421819,3.76588004113848e-05,7.8639305928375,4.34659027657889,0.198233536267963,0.040181335659582,74341.5722001504,48.7681669779306,1,0,4.44,0.55632270266002,36.9107,4.17748420134957,37.25,3691.07
"core","A_eb025_equal_n300","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.58,0.622474696252585,0,0,0,0,16,0,183.58,0.622474696252585,1,0,0.997666666666667,0.00345819275695893,0.100211411361272,0.000313965749422857,0.182167408443481,0.000518537325281054,1,0,0.997717391304348,0.00338301465354673,0.0801691290890179,0.000251172599538311,0.148438005527591,0.000430399810038783,1,0,0.997717391304348,0.00338301465354673,0.0801691290890179,0.000251172599538311,0.148438005527591,0.000430399810038783,0,0,0,0,0,0,0.865442858394668,0.012475259177967,0.814022085159734,0.0134453728737819,0.052264,0.00500745948611175,0.026604,0.00500745948611175,-245.933597401836,0.0966507043637291,0.00124587680141589,7.09426493658635e-05,54.4205974403919,12.8693205657098,2.44657965658613,0.167544062230997,74625.6577687628,51.5853406976857,1,0,6.77,4.22559540960284,9.7691,1.30777248739523,9.34499999999992,976.91
"core","A_eb025_equal_n300","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863429553595829,0.0113968527222291,0.809983206062156,0.0130826626123535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,16.17,6.25559143825939,0.0906000000000053,0.0256951828995772,0.0899999999999181,9.06000000000053
"core","A_eb025_heterogeneous_n1000","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912427041879279,0.00630547506039835,0.878884752735632,0.00742364919499544,0.034008,0.00250799449035207,0.007288,0.00250799449035207,-247.166642978564,0.0592489179210803,0.000489811902514734,2.87100449803763e-05,6.25561717892737,2.26013839115393,0.684653511980411,0.0404246104135192,247965.7181825,130.860195410798,1,0,10.94,2.89834505199157,3.19260000000001,0.84106788781832,3.09499999999991,319.260000000001
"core","A_eb025_heterogeneous_n1000","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861194061536684,0.00929792241071701,0.829546645870127,0.00877197208637079,0.05516,0.00382051876534636,0.02844,0.00382051876534636,-246.930778612852,0.0593099322274732,0.000502115192104373,2.87339560048919e-05,129.602375419621,2.56964420407454,1.14692771494707,0.0533690549176153,247771.993987458,127.132247680026,1,0,15.62,9.86349252792766,1.08299999999999,0.187909821483874,1.05000000000007,108.299999999999
"core","A_eb025_heterogeneous_n1000","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.02,0.14070529413629,0,0,0.01,0.1,16,0,0.01,0.1,0.8005,0.00499999999999999,5.55555555555556e-05,0.000555555555555556,0.999411764705882,0.00588235294117651,0.888948948948949,0.00386462290923778,0.8005,0.00499999999999999,5.55555555555556e-05,0.000555555555555556,0.999411764705882,0.00588235294117651,0.888948948948949,0.00386462290923778,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,0,0,0,0,0.98,0.14070529413629,0.92840231509658,0.00546444056464104,0.897351036470359,0.00688284059774493,0.027614,0.00214433809334859,0.000894,0.00214433809334859,-247.450903148382,0.0545991431590065,0.000153562971457896,1.33635982817678e-05,1.49752741931548,0.853148364267274,0.0555299641424857,0.0114798420593325,247689.036253129,127.728165829953,1,0,2.87,0.337997668989631,39.6227,1.7231717613726,39.52,3962.27
"core","A_eb025_heterogeneous_n1000","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.02,0.14070529413629,0,0,0.01,0.1,16,0,0.01,0.1,0.8005,0.00499999999999999,5.55555555555556e-05,0.000555555555555556,0.999411764705882,0.00588235294117651,0.888948948948949,0.00386462290923778,0.8005,0.00499999999999999,5.55555555555556e-05,0.000555555555555556,0.999411764705882,0.00588235294117651,0.888948948948949,0.00386462290923778,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,0,0,0,0,0.98,0.14070529413629,0.928442443647803,0.00549831903830589,0.897386152649457,0.00692835486441159,0.027598,0.00215715768847094,0.000878,0.00215715768847094,-247.450901118792,0.0545986651799816,0.000153510855933683,1.33706801371487e-05,1.50082847426562,0.853614007435202,0.0555256279735115,0.0114759626081099,247689.035932828,127.72816223889,1,0,4.86,0.619872909750397,44.0913,2.04333242127618,43.6499999999998,4409.13
"core","A_eb025_heterogeneous_n1000","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.57,0.65528157260367,0,0,4,0,16,0,179.57,0.65528157260367,1,0,0.997611111111111,0.0036404531811316,0.10021653800459,0.000330633487268575,0.182175862977511,0.000546047208492784,1,0,0.997611111111111,0.0036404531811316,0.10021653800459,0.000330633487268575,0.182175862977511,0.000546047208492784,1,0,0.997663043478261,0.00356131289458522,0.080173230403672,0.000264506789814881,0.14844502493561,0.000453236529029535,0,0,0,0,0,0,0.912638437327012,0.00633733148289028,0.879115383680137,0.00747606260602473,0.033922,0.00253124235876138,0.007202,0.00253124235876138,-247.17010934575,0.0594552643023249,0.000484195457737687,2.85848696881116e-05,6.15523758470536,2.23347474762913,0.676849089501017,0.0404596890449849,247963.040878418,130.904080160581,1,0,5.02,0.531436019125767,28.4206,1.49648262349558,28.2800000000001,2842.06
"core","A_eb025_heterogeneous_n1000","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.866083391252271,0.00873557527044888,0.833422551846746,0.00858100599496289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,11.68,4.43102013016635,0.196299999999967,0.0446004710760278,0.190000000000055,19.6299999999967
"core","A_eb025_heterogeneous_n300","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856047767684532,0.0161519491999304,0.820270104335884,0.0143798966273306,0.05728,0.0069294278044417,0.03056,0.0069294278044417,-246.110439556817,0.0921728386252129,0.00145749119681158,0.000107727737693611,63.2063382563396,12.4781241362042,2.53975997606082,0.170171413085523,74687.9027059081,67.5773468004917,1,0,35.45,14.1309710718812,2.24020000000002,0.451940775596164,2.19500000000005,224.020000000002
"core","A_eb025_heterogeneous_n300","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.797526331387993,0.0203510824979466,0.766755797247705,0.0178089720685548,0.08313,0.00932590072016769,0.05641,0.00932590072016769,-245.869193179139,0.090661593804213,0.00150023540915412,0.000121267629250297,177.769925747152,14.9716445967158,3.09181287876322,0.198594965231182,74643.6967962172,66.5349262051045,1,0,42.09,20.2504994326739,0.9675,0.207307778801278,0.944999999999915,96.75
"core","A_eb025_heterogeneous_n300","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.15,0.457816513022367,0,0,0,0,16,0,0.15,0.457816513022367,0.8,0,0.000833333333333334,0.00254342507234649,0.991427588579291,0.025530706270179,0.885334889545416,0.0107178886304766,0.8,0,0.000833333333333334,0.00254342507234649,0.991427588579291,0.025530706270179,0.885334889545416,0.0107178886304766,1,0,0.000815217391304348,0.00248813322294765,0.991427588579291,0.025530706270179,0.995524318818437,0.013479018727409,0,0,0,0,0.88,0.32659863237109,0.925340742582932,0.00724407876280145,0.894158326653436,0.00829309295474463,0.028812,0.00286036234195473,0.002092,0.00286036234195473,-247.152869791026,0.062796988892618,0.000482540689741553,4.78444547709763e-05,8.56296128517704,4.21105946603952,0.191901189685338,0.0512188189104089,74399.8691956378,66.0006414647094,1,0,4.26,0.824131008512554,38.7027,1.99847409214375,38.4749999999999,3870.27
"core","A_eb025_heterogeneous_n300","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.15,0.457816513022367,0,0,0,0,16,0,0.15,0.457816513022367,0.8,0,0.000833333333333334,0.00254342507234649,0.991427588579291,0.025530706270179,0.885334889545416,0.0107178886304766,0.8,0,0.000833333333333334,0.00254342507234649,0.991427588579291,0.025530706270179,0.885334889545416,0.0107178886304766,1,0,0.000815217391304348,0.00248813322294765,0.991427588579291,0.025530706270179,0.995524318818437,0.013479018727409,0,0,0,0,0.88,0.32659863237109,0.925306249760235,0.00724992278476999,0.894122362606387,0.00829427092590244,0.028826,0.00286231593735781,0.002106,0.00286231593735781,-247.152860300657,0.0627979532419962,0.000482477285437237,4.78340130608664e-05,8.56900582278319,4.20903929042901,0.19191247708239,0.0512377903616872,74399.8691629984,66.0006400301403,1,0,6.2,1.05409255338946,43.0643,2.86880831029404,42.8800000000001,4306.43
"core","A_eb025_heterogeneous_n300","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.61,0.584220105194208,0,0,4,0,16,0,179.61,0.584220105194208,1,0,0.997833333333333,0.00324566725107904,0.100196233693721,0.000294285668189685,0.182142348456286,0.000486093037627909,1,0,0.997833333333333,0.00324566725107904,0.100196233693721,0.000294285668189685,0.182142348456286,0.000486093037627909,1,0,0.997880434782609,0.00317510926735989,0.0801569869549769,0.000235428534551779,0.148417203989471,0.00040346116014349,0,0,0,0,0,0,0.859640059409025,0.0146941679098687,0.823792889968882,0.0132738177377415,0.055728,0.00634423431872666,0.029008,0.00634423431872666,-246.138295327431,0.0906436786020712,0.00142253335332647,0.00010026637396633,62.0768157494038,12.2271531966573,2.47493116112391,0.164763935618597,74685.3356601842,67.4103997565522,1,0,7.04,5.52664802424022,8.91899999999999,1.12386643226665,8.63499999999993,891.899999999999
"core","A_eb025_heterogeneous_n300","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774951771210522,0.038269397745703,0.745570074597526,0.0326320898081309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,12.88,4.12991060631603,0.0716000000000012,0.0179629247804084,0.0700000000000287,7.16000000000012
"core","A_eb050_equal_n1000","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83613743808851,0.00969135623505338,0.778756542885813,0.0107631784704748,0.064182,0.00397599819116679,0.013232,0.00397599819116679,-247.032450238596,0.0450721688890395,0.00043284262408666,2.24740618891655e-05,6.17029716019175,2.26421620314287,0.736637353202753,0.0437066464913052,247839.251809413,96.1397617338552,1,0,12.96,3.83476916455926,3.13079999999999,0.750203581797239,2.88499999999999,313.079999999999
"core","A_eb050_equal_n1000","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837337535293525,0.00936317601613111,0.779740928315793,0.0104490130359073,0.0637,0.0038438722059082,0.01275,0.0038438722059082,-247.034530354625,0.0449633111490853,0.000432531192642365,2.2442600525216e-05,4.88748217783411,2.17088760200852,0.731438272737302,0.0435644956182606,247837.455551789,96.366820478905,1,0,14.56,3.25458495546256,0.952599999999995,0.123677815392262,0.940000000000055,95.2599999999995
"core","A_eb050_equal_n1000","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.06,0.277797979063414,0,0,0,0,16,0,0.06,0.277797979063414,0.801,0.00703526470681448,0.000222222222222222,0.0013493242363309,0.997712418300654,0.0137594012797498,0.888541172751699,0.00720166216304605,1,0,0.000326086956521739,0.00150977162534464,0.996535947712418,0.0158867658655656,0.998199643493761,0.00829334273584588,1,0,0.000326086956521739,0.00150977162534464,0.996535947712418,0.0158867658655656,0.998199643493761,0.00829334273584588,0,0,0.95,0.21904291355759,0.95,0.21904291355759,0.866983017938433,0.00734081302370717,0.813719329818375,0.0085422150613321,0.051648,0.00295448571812183,0.000697999999999999,0.00295448571812183,-247.316243031233,0.0398713446609081,0.000129387338568436,1.17153863812183e-05,1.30087634955245,0.938534303842331,0.0612929264124312,0.016141742293868,247559.723913158,92.6845024875594,1,0,3.05,0.21904291355759,25.7133,3.07902616606506,25.0850000000001,2571.33
"core","A_eb050_equal_n1000","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.06,0.277797979063414,0,0,0,0,16,0,0.06,0.277797979063414,0.801,0.00703526470681448,0.000222222222222222,0.0013493242363309,0.997712418300654,0.0137594012797498,0.888541172751699,0.00720166216304605,1,0,0.000326086956521739,0.00150977162534464,0.996535947712418,0.0158867658655656,0.998199643493761,0.00829334273584588,1,0,0.000326086956521739,0.00150977162534464,0.996535947712418,0.0158867658655656,0.998199643493761,0.00829334273584588,0,0,0.95,0.21904291355759,0.95,0.21904291355759,0.866978065445922,0.00730159425680784,0.813711620345236,0.00849556635428812,0.05165,0.00293861439209954,0.000699999999999998,0.00293861439209954,-247.316258464454,0.0398686676936526,0.000129382676823152,1.17118080852156e-05,1.29604262761897,0.936141842092722,0.0612599077580339,0.0161334673967001,247559.723655462,92.6845253489906,1,0,4.27,0.633333333333333,32.0954,2.61974492551231,31.4200000000001,3209.54
"core","A_eb050_equal_n1000","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.58,0.589127072091164,0,0,0,0,16,0,183.58,0.589127072091164,1,0,0.997666666666667,0.00327292817828436,0.100211309070606,0.00029673257603177,0.182167255056535,0.000490138527325305,1,0,0.997717391304348,0.00320177756571292,0.0801690472564845,0.000237386060825448,0.148437875824096,0.000406818372637668,1,0,0.997717391304348,0.00320177756571292,0.0801690472564845,0.000237386060825448,0.148437875824096,0.000406818372637668,0,0,0,0,0,0,0.836590670047019,0.00968956984674289,0.779256826918044,0.0107357056285108,0.063994,0.00397562827764621,0.013044,0.00397562827764621,-247.036451487405,0.0448066806874621,0.000428533180032438,2.22118825608021e-05,6.11139326898507,2.25934369268118,0.726403001966195,0.0436735952931248,247836.744084266,96.0516320982015,1,0,5.72,0.55194788218315,29.2776,1.655772345646,28.92,2927.76
"core","A_eb050_equal_n1000","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835363792410748,0.0095631427577788,0.777435374566911,0.0106520632806772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,12.95,4.17635237880129,0.208900000000017,0.0334209454677631,0.204999999999927,20.8900000000017
"core","A_eb050_equal_n300","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72575776757971,0.0251883454004445,0.668548459720545,0.0217763104711002,0.111032,0.0112291726851055,0.060082,0.0112291726851055,-245.919130500886,0.106010040276965,0.00138804846220269,0.000109032426487876,65.1140835715178,13.4993551798135,2.86329046659098,0.234731128538705,74660.2452108864,48.8356863253117,1,0,58.9,31.029637185091,3.296,0.666034548805096,3.25999999999999,329.6
"core","A_eb050_equal_n300","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738144230363141,0.0214269194476446,0.676066220135587,0.0207902490301431,0.105762,0.0095070285536119,0.054812,0.0095070285536119,-245.935726849341,0.106778776366306,0.00138382604023965,0.000109393398798884,54.8004762404717,11.2674581964672,2.81038144081172,0.227467076572001,74657.8163320324,49.0468548773215,1,0,57.68,28.2817284057421,1.3266,0.30315919077194,1.29999999999995,132.66
"core","A_eb050_equal_n300","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.23,0.468287229478799,0,0,0,0,16,0,0.23,0.468287229478799,0.8005,0.00499999999999999,0.00122222222222222,0.0025684299723291,0.98718954248366,0.0266977683914219,0.883929192350245,0.011550559104339,1,0,0.00125,0.00254503929064565,0.986601307189542,0.0270582621968938,0.993065953654189,0.014055989994459,1,0,0.00125,0.00254503929064565,0.986601307189542,0.0270582621968938,0.993065953654189,0.014055989994459,0,0,0.79,0.409360180740332,0.79,0.409360180740332,0.855991683320831,0.00891464400382189,0.802220240882405,0.00995602456537152,0.056074,0.00360175658603556,0.005124,0.00360175658603556,-247.010736487864,0.0533090883389999,0.000416350766029537,3.71241325481285e-05,8.11036690409715,4.27893433005765,0.21922105536357,0.0576569899716741,74365.9185900955,45.2351952454898,1,0,4.82,0.946871510061242,34.2948,4.06592156114874,34.585,3429.48
