scenario,method,reps,valid_reps,zero_support_refit_reps,ARI,selected_q,TPR,FPR,Precision,F1,MSE_mu,MSE_kappa,MSE_centered_eta,kappa_hat_mean
strong,Eta-group BIC,20,20,0,0.640531139570236,25.45,0.995454545454545,0.0455128205128205,0.867236654185117,0.925127275619879,0.000263547765587487,11.2283523014099,0.378711167617728,58.2749041687167
strong,Eta-group BIC + refit,20,20,0,0.684362503285707,25.45,0.995454545454545,0.0455128205128205,0.867236654185117,0.925127275619879,0.000100693970465348,1.99240928697437,0.190992316724321,58.0073356038691
strong,Eta-ANOVA BIC,20,20,0,0.658269663314244,99.9,1,0.998717948717949,0.220222222222222,0.360953800298063,0.000284025815999,3.31084634512793,0.490804081805242,58.5274821812352
strong,Eta-ANOVA BIC + refit,20,20,0,0.651888272625984,99.9,1,0.998717948717949,0.220222222222222,0.360953800298063,0.000328782812596469,3.60440295076561,0.581425682218847,58.6767930345378
weak,Eta-group BIC,20,20,0,0.55155385854465,23.9,1,0.0243589743589744,0.924419493549928,0.959721297152842,0.000176166310769496,6.36430394108115,0.346123577104643,54.404451153095
weak,Eta-group BIC + refit,20,20,0,0.564871645311858,23.9,1,0.0243589743589744,0.924419493549928,0.959721297152842,0.000072705032938738,1.61405360857047,0.171909798344019,55.2978732879875
weak,Eta-ANOVA BIC,20,20,0,0.523384280940038,99.5,1,0.993589743589744,0.221131872852234,0.362168720578736,0.000242815649436424,2.52999577596201,0.537764948744491,55.8412930279646
weak,Eta-ANOVA BIC + refit,20,20,0,0.514760903575161,99.5,1,0.993589743589744,0.221131872852234,0.362168720578736,0.000287562343396373,2.98931043640378,0.658934610387457,56.0431340548406
