"method","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","scenario","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"Rossi path BIC",4,35.2216005540977,NA,NA,NA,0.537870426635305,96670.2107658928,96172.381088363,TRUE,2,22,97,1,0.961538461538462,0.22680412371134,0.369747899159664,1,0.611111111111111,0.153846153846154,0.266666666666667,0.000122274683562574,1.50471748760571,0.313426389117255,55.3414576133505,263,-191523.681893413,-190312.522134498,1,1,0.961538461538462,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,35.2216005540977,NA,NA,NA,0.516382904770463,96710.2386174876,NA,TRUE,18,22,97,1,0.961538461538462,0.22680412371134,0.369747899159664,NA,NA,NA,NA,0.000273221098826947,2.60578159901733,0.685062359767219,55.6278435076021,391,-190719.544920893,-188918.923378172,1,1,0.961538461538462,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,66.5498146746227,4.62231408946574,NA,0.51689749255215,96551.4056953461,94786.2689877756,TRUE,2,22,84,1,0.794871794871795,0.261904761904762,0.415094339622642,1,0.275,0.287769784172662,0.446927374301676,6.16207451079405e-05,30.8193748935018,0.17950664193562,49.5408646910427,142,-192121.910141077,-191467.975974667,1,1,0.794871794871795,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,66.5498146746227,4.62231408946574,NA,0.523621151127381,96692.8843133314,NA,TRUE,29,22,84,1,0.794871794871795,0.261904761904762,0.415094339622642,NA,NA,NA,NA,0.000242483869968635,2.08039404360884,0.605646654015476,55.4087115681432,339,-191044.039587088,-189482.886894038,1,1,0.794871794871795,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.52378883729327,0.532508353756497,96511.7221573353,96279.8282255499,TRUE,10,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,0.000159925985074591,6.66995301312647,0.338144456634729,53.8738802966215,178,-191793.863875012,-190974.143581906,1,1,0.0384615384615385,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.52378883729327,0.545852363756214,96557.1624018802,NA,TRUE,13,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,7.55122334293712e-05,1.27473695790112,0.198363055558106,54.8933760882503,103,-192402.826010025,-191928.493480869,1,1,0.0384615384615385,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,16.100504969202,NA,NA,NA,0.497746163909982,96510.9423779041,96262.0836863118,TRUE,2,22,100,1,1,0.22,0.360655737704918,1,0.797222222222222,0.122324159021407,0.217983651226158,0.000218681800891097,3.031101394556,0.492339471408174,54.171341252223,330,-190742.325513744,-189222.619352368,1,1,1,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,16.100504969202,NA,NA,NA,0.472935297575296,96522.898739626,NA,TRUE,17,22,100,1,1,0.22,0.360655737704918,NA,NA,NA,NA,0.000350526840065777,3.91881485353156,0.765768033318722,54.1010515429674,403,-190261.972101822,-188406.088516869,1,1,1,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,32.2663721803865,3.47049309963996,NA,0.48784937456214,96450.0359856498,95303.8053383503,TRUE,2,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,1,0.55,0.168067226890756,0.287769784172662,0.000153595630339921,27.8044725397839,0.290814690228611,49.7990239471541,241,-191235.302949065,-190125.456934242,1,1,0.974358974358974,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,32.2663721803865,3.47049309963996,NA,0.466704380433399,96521.9241623719,NA,TRUE,22,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,NA,NA,NA,NA,0.000355902677099115,4.04137545455409,0.759683839057268,53.9244628564084,395,-190315.284989546,-188496.24276608,1,1,0.974358974358974,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.71532955589312,0.5206635092612,96306.203993821,96066.2974179161,TRUE,28,22,22,1,0,1,1,NA,NA,NA,NA,0.000181349552468872,18.2828401655988,0.4580221555054,51.9318507426211,169,-191444.997345494,-190666.723584062,1,1,0,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.71532955589312,0.526645228085972,96363.0213523906,NA,TRUE,18,22,22,1,0,1,1,NA,NA,NA,NA,6.51323909204632e-05,5.34972441277937,0.139141309324773,52.9391772162213,91,-192097.436974394,-191678.366487469,1,1,0,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,26.2795510532611,NA,NA,NA,0.563896263691573,96984.4360099487,96603.3490973817,TRUE,2,22,97,1,0.961538461538462,0.22680412371134,0.369747899159664,1,0.702777777777778,0.136518771331058,0.24024024024024,0.000140562633924756,4.20916020286467,0.316962600142692,56.6328458976155,296,-191924.176457319,-190561.046082266,1,1,0.961538461538462,"specific_effect_common6_specific4",3,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,26.2795510532611,NA,NA,NA,0.539372355165649,97008.4783119752,NA,TRUE,11,22,97,1,0.961538461538462,0.22680412371134,0.369747899159664,NA,NA,NA,NA,0.000267567277212747,5.43878983167689,0.604866989221812,56.7887343589428,391,-191316.024309868,-189515.402767147,1,1,0.961538461538462,"specific_effect_common6_specific4",3,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,60.7235653004179,0,NA,0.565435599682189,96921.2965386505,96133.06869193,TRUE,2,22,82,1,0.769230769230769,0.268292682926829,0.423076923076923,1,0.338888888888889,0.246913580246914,0.396039603960396,6.59808021012618e-05,2.55486926286273,0.153175586488643,56.2329449859795,165,-192702.813456269,-191942.960375581,1,1,0.769230769230769,"specific_effect_common6_specific4",3,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,60.7235653004179,0,NA,0.541999668784968,96995.405174446,NA,TRUE,11,22,82,1,0.769230769230769,0.268292682926829,0.423076923076923,NA,NA,NA,NA,0.000237628460678179,4.95258449316268,0.530645473541174,56.7131200366251,331,-191704.343351549,-190180.032019987,1,1,0.769230769230769,"specific_effect_common6_specific4",3,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.68322856936623,0.548731107097284,96827.2736916212,96560.2122519486,TRUE,13,22,23,1,0.0128205128205128,0.956521739130435,0.977777777777778,NA,NA,NA,NA,0.000177881735814259,5.69144944368256,0.292071081754583,55.326379646809,172,-192466.413475258,-191674.324203268,1,1,0.0128205128205128,"specific_effect_common6_specific4",3,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.68322856936623,0.566925913490498,96868.5237593037,NA,TRUE,12,22,23,1,0.0128205128205128,0.956521739130435,0.977777777777778,NA,NA,NA,NA,7.94880069448971e-05,2.39849360067708,0.170124317123465,56.1479321648765,95,-193080.810767104,-192643.319599435,1,1,0.0128205128205128,"specific_effect_common6_specific4",3,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,41.8504651799715,NA,NA,NA,0.565148895249632,96736.3831382836,96166.0933590814,TRUE,2,22,94,1,0.923076923076923,0.234042553191489,0.379310344827586,1,0.516666666666667,0.176991150442478,0.300751879699248,7.95623965706193e-05,3.08474895238087,0.205172345922193,55.4537846035199,229,-191890.89031768,-190836.306345089,1,1,0.923076923076923,"specific_effect_common6_specific4",4,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,41.8504651799715,NA,NA,NA,0.527324176316026,96787.458662033,NA,TRUE,16,22,94,1,0.923076923076923,0.234042553191489,0.379310344827586,NA,NA,NA,NA,0.000263272529202956,2.32116694332204,0.559842090074727,55.4530682684568,379,-190956.878073332,-189211.518572842,1,1,0.923076923076923,"specific_effect_common6_specific4",4,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,73.4545108092515,0,NA,0.57724531082792,96678.5354303181,95753.7621460305,TRUE,2,22,77,1,0.705128205128205,0.285714285714286,0.444444444444444,1,0.247222222222222,0.310077519379845,0.473372781065089,3.79646578951614e-05,3.12397334024327,0.118941555286694,55.1891653912097,132,-192445.247163811,-191837.36469926,1,1,0.705128205128205,"specific_effect_common6_specific4",4,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,73.4545108092515,0,NA,0.521846554782125,96769.170036618,NA,TRUE,15,22,77,1,0.705128205128205,0.285714285714286,0.444444444444444,NA,NA,NA,NA,0.000225439393034987,2.52045453080745,0.486308131250893,55.3436278776971,311,-191390.028181473,-189957.82025363,1,1,0.705128205128205,"specific_effect_common6_specific4",4,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.5177422353518,0.57008428817093,96620.6646428074,96376.5906463011,TRUE,13,22,24,1,0.0256410256410256,0.916666666666667,0.956521739130435,NA,NA,NA,NA,0.000137434838119712,1.30391284621087,0.242749410905101,54.2811020348112,175,-192032.472111793,-191226.567329245,1,1,0.0256410256410256,"specific_effect_common6_specific4",4,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.5177422353518,0.556118400733352,96652.886231277,NA,TRUE,17,22,24,1,0.0256410256410256,0.916666666666667,0.956521739130435,NA,NA,NA,NA,5.42433866608402e-05,2.93393746261546,0.166428249337842,54.9850901380172,99,-192621.904689935,-192165.992841522,1,1,0.0256410256410256,"specific_effect_common6_specific4",4,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,24.0599187287209,NA,NA,NA,0.572413820440592,97065.3870299655,96712.117251555,TRUE,2,22,100,1,1,0.22,0.360655737704918,1,0.705555555555556,0.136054421768707,0.239520958083832,0.00013677502810149,2.82824255660512,0.324409078642307,56.6115062245979,297,-192079.170742073,-190711.435196835,1,1,1,"specific_effect_common6_specific4",5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,24.0599187287209,NA,NA,NA,0.537140375543774,97084.4961079408,NA,TRUE,10,22,100,1,1,0.22,0.360655737704918,NA,NA,NA,NA,0.000242491400819718,2.90077937732644,0.563305078627149,56.6241074192115,403,-191385.166838452,-189529.283253499,1,1,1,"specific_effect_common6_specific4",5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,77.6653462723817,4.56281818312687,NA,0.572273424771298,96919.4953517055,95012.9762577459,TRUE,2,22,69,1,0.602564102564103,0.318840579710145,0.483516483516483,1,0.197222222222222,0.36036036036036,0.529801324503311,3.64527328700351e-05,16.2239572625239,0.110911836224216,51.0680475469494,114,-193051.506601607,-192526.517200404,1,1,0.602564102564103,"specific_effect_common6_specific4",5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,77.6653462723817,4.56281818312687,NA,0.546324900711278,97054.8947626063,NA,TRUE,14,22,69,1,0.602564102564103,0.318840579710145,0.483516483516483,NA,NA,NA,NA,0.000203050737842907,2.14606946792737,0.472427451275094,56.4344007855897,279,-192182.525802377,-190897.683320486,1,1,0.602564102564103,"specific_effect_common6_specific4",5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.7415963579369,0.575618126310318,96889.197337851,96624.1051001964,TRUE,9,22,22,1,0,1,1,NA,NA,NA,NA,0.000149118487697789,7.48140016655983,0.312104926315302,54.7639169903389,169,-192610.984033554,-191832.710272122,1,1,0,"specific_effect_common6_specific4",5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.7415963579369,0.586572556550454,96931.5729327468,NA,TRUE,13,22,22,1,0,1,1,NA,NA,NA,NA,5.29755528139774e-05,0.794357937265272,0.115067188520346,55.8704650754548,91,-193234.540135106,-192815.469648181,1,1,0,"specific_effect_common6_specific4",5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,13.6219219724175,NA,NA,NA,0.568953011429906,96898.0468039868,96691.9376782698,TRUE,2,22,100,1,1,0.22,0.360655737704918,1,0.822222222222222,0.119047619047619,0.212765957446808,0.000172524475137606,0.704898682356356,0.352553697866135,55.4880980586342,339,-191454.364568399,-189893.211875349,1,1,1,"specific_effect_common6_specific4",6,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,13.6219219724175,NA,NA,NA,0.553110551078689,96905.5691678574,NA,TRUE,12,22,100,1,1,0.22,0.360655737704918,NA,NA,NA,NA,0.00025283509372538,0.773177874457673,0.500703791007944,55.4321156342683,403,-191027.312958285,-189171.429373332,1,1,1,"specific_effect_common6_specific4",6,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,43.2855640577426,6.69709403053029,NA,0.517798440215397,96740.726700316,94891.1337868004,TRUE,2,22,92,1,0.897435897435897,0.239130434782609,0.385964912280702,1,0.391666666666667,0.220994475138122,0.361990950226244,0.000124389365096424,56.5091699642398,0.250739102278985,47.5230784433978,184,-192210.426429299,-191363.075115077,1,1,0.897435897435897,"specific_effect_common6_specific4",6,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,43.2855640577426,6.69709403053029,NA,0.556977606624705,96901.2847614503,NA,TRUE,15,22,92,1,0.897435897435897,0.239130434782609,0.385964912280702,NA,NA,NA,NA,0.000247813964137601,0.692799444063621,0.489776483887059,55.3025090397983,371,-191239.792314398,-189531.274175397,1,1,0.897435897435897,"specific_effect_common6_specific4",6,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.51841867420431,0.600391971271612,96745.6723745512,96507.377742981,TRUE,13,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,0.000139748230109282,4.17733918464464,0.253546949197411,54.0625012088306,178,-192261.764309444,-191442.044016338,1,1,0.0384615384615385,"specific_effect_common6_specific4",6,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.51841867420431,0.60590753498199,96783.9962238663,NA,TRUE,14,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,8.28254032555004e-05,0.411557473029319,0.160178063115601,54.9770773309168,103,-192856.493653998,-192382.161124841,1,1,0.0384615384615385,"specific_effect_common6_specific4",6,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,49.9558134951903,NA,NA,NA,0.59723570065646,97049.5277706795,96366.8949288601,TRUE,2,22,93,1,0.91025641025641,0.236559139784946,0.382608695652174,1,0.480555555555556,0.187793427230047,0.316205533596838,9.43321331233631e-05,2.44406563827086,0.222127728711571,56.0721998438205,216,-192606.980401099,-191612.263640925,1,1,0.91025641025641,"specific_effect_common6_specific4",7,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,49.9558134951903,NA,NA,NA,0.544958748736242,97112.578315298,NA,TRUE,11,22,93,1,0.91025641025641,0.236559139784946,0.382608695652174,NA,NA,NA,NA,0.000278015711995404,3.35508042027955,0.626028949633936,56.5275361300045,375,-191634.748400978,-189907.809581232,1,1,0.91025641025641,"specific_effect_common6_specific4",7,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,87.4198959334823,0,NA,0.600547844619349,96977.3925633773,95878.6001339601,TRUE,2,22,71,1,0.628205128205128,0.309859154929577,0.473118279569892,1,0.219444444444444,0.336134453781513,0.50314465408805,5.12804024380238e-05,1.85208623322388,0.122655159418821,55.585288071541,122,-193112.038982719,-192550.208220028,1,1,0.628205128205128,"specific_effect_common6_specific4",7,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,87.4198959334823,0,NA,0.549054725974283,97083.4678436913,NA,TRUE,11,22,71,1,0.628205128205128,0.309859154929577,0.473118279569892,NA,NA,NA,NA,0.000241203982235454,2.42825459981289,0.551542852545907,56.2410230914854,287,-192184.409922315,-190862.726078936,1,1,0.628205128205128,"specific_effect_common6_specific4",7,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.88514016636758,0.571822415322903,96886.8549089898,96612.2476532382,TRUE,10,22,23,1,0.0128205128205128,0.956521739130435,0.977777777777778,NA,NA,NA,NA,0.000195438261946276,8.67796016820522,0.38914631621625,54.5210477089953,172,-192585.575909995,-191793.486638005,1,1,0.0128205128205128,"specific_effect_common6_specific4",7,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.88514016636758,0.584385723160057,96943.562446829,NA,TRUE,17,22,23,1,0.0128205128205128,0.956521739130435,0.977777777777778,NA,NA,NA,NA,5.87353969730851e-05,1.6012473537558,0.149516942362035,55.545439475487,95,-193230.888142155,-192793.396974486,1,1,0.0128205128205128,"specific_effect_common6_specific4",7,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,44.6544029224044,NA,NA,NA,0.575656148717696,96528.241361902,95912.4338336728,TRUE,2,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,1,0.530555555555556,0.173160173160173,0.29520295202952,0.000104316541540417,2.91179397807193,0.272372197755024,55.6779399631788,234,-191440.067988522,-190362.458165001,1,1,0.974358974358974,"specific_effect_common6_specific4",8,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,44.6544029224044,NA,NA,NA,0.519164417801095,96585.553278868,NA,TRUE,15,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,NA,NA,NA,NA,0.000283025272020805,4.38493203727507,0.702667466059545,55.7390590866118,395,-190442.543222538,-188623.500999073,1,1,0.974358974358974,"specific_effect_common6_specific4",8,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,74.7174582894048,4.7366817655822,NA,0.572687905543265,96414.8830989032,94515.6227668853,TRUE,2,22,71,1,0.628205128205128,0.309859154929577,0.473118279569892,1,0.211111111111111,0.344827586206897,0.512820512820513,6.10077840075471e-05,24.9717233001165,0.188071990339764,50.3733580967227,119,-192007.743319607,-191459.728067475,1,1,0.628205128205128,"specific_effect_common6_specific4",8,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,74.7174582894048,4.7366817655822,NA,0.545762544980142,96552.6793784766,NA,TRUE,12,22,71,1,0.628205128205128,0.309859154929577,0.473118279569892,NA,NA,NA,NA,0.000233504592829002,3.21178989901005,0.576385785933748,55.5225471035145,287,-191122.832991885,-189801.149148507,1,1,0.628205128205128,"specific_effect_common6_specific4",8,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.54980777741555,0.564871222732164,96393.2880880202,96148.657528413,TRUE,10,22,27,1,0.0641025641025641,0.814814814814815,0.897959183673469,NA,NA,NA,NA,0.000149206045148902,8.11957203028149,0.327389944607028,54.2377823439251,184,-191515.549204708,-190668.197890486,1,1,0.0641025641025641,"specific_effect_common6_specific4",8,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.54980777741555,0.568702272268207,96446.1196531935,NA,TRUE,11,22,27,1,0.0641025641025641,0.814814814814815,0.897959183673469,NA,NA,NA,NA,0.000105561482834003,1.77920440700281,0.274843013248263,55.4473871552562,111,-192125.47847042,-191614.304579775,1,1,0.0641025641025641,"specific_effect_common6_specific4",8,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,20.2891637266898,NA,NA,NA,0.48437611104466,96803.7360711016,96496.9353461444,TRUE,2,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,1,0.725,0.132890365448505,0.234604105571848,0.000182128412543672,1.70254843002916,0.459792197085758,55.6287562998453,304,-191507.514537393,-190107.542800852,1,1,0.974358974358974,"specific_effect_common6_specific4",9,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,20.2891637266898,NA,NA,NA,0.470215302220573,96820.0590619133,NA,TRUE,17,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,NA,NA,NA,NA,0.000304261194495604,2.37675306311393,0.736089657683098,55.4627872323884,395,-190911.554788629,-189092.512565163,1,1,0.974358974358974,"specific_effect_common6_specific4",9,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,95.0661780362154,4.42790374160806,NA,0.495186141954678,96623.5569572145,94560.3761903666,TRUE,2,22,63,1,0.525641025641026,0.349206349206349,0.517647058823529,1,0.158333333333333,0.412371134020619,0.583941605839416,5.60105305711303e-05,24.5453068725462,0.199316729154466,50.1625028883631,100,-192556.338386531,-192095.821367932,1,1,0.525641025641026,"specific_effect_common6_specific4",9,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,95.0661780362154,4.42790374160806,NA,0.494359953719942,96774.2932798447,NA,TRUE,14,22,63,1,0.525641025641026,0.349206349206349,0.517647058823529,NA,NA,NA,NA,0.000209062686982145,1.76050135038177,0.526706658079018,55.3676932164648,255,-191787.108963549,-190612.790566122,1,1,0.525641025641026,"specific_effect_common6_specific4",9,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.5237366298578,0.494883301978466,96623.6499286745,96402.0251488329,TRUE,6,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,0.00021838134813109,11.07486557205,0.4571842086241,54.5937436272314,178,-192017.71941769,-191197.999124584,1,1,0.0384615384615385,"specific_effect_common6_specific4",9,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.5237366298578,0.547354414793305,96657.3035745542,NA,TRUE,21,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,7.57944094913498e-05,1.47691134892777,0.217000067523125,55.0897459984504,103,-192603.108355373,-192128.775826217,1,1,0.0384615384615385,"specific_effect_common6_specific4",9,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,51.076348326017,NA,NA,NA,0.558588492586681,96523.7734646848,95830.4853858935,TRUE,2,22,93,1,0.91025641025641,0.236559139784946,0.382608695652174,1,0.458333333333333,0.195121951219512,0.326530612244898,8.71287095473359e-05,2.55537619715784,0.209819520892358,54.9358426500047,208,-191610.733831341,-190652.858432656,1,1,0.91025641025641,"specific_effect_common6_specific4",10,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,51.076348326017,NA,NA,NA,0.53914502340581,96592.0283773375,NA,TRUE,11,22,93,1,0.91025641025641,0.236559139784946,0.382608695652174,NA,NA,NA,NA,0.000272835593247712,3.83651215573106,0.630040618556707,55.5236821808506,375,-190593.648525057,-188866.709705311,1,1,0.91025641025641,"specific_effect_common6_specific4",10,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,87.9046391920254,0,NA,0.578099262152108,96456.0159002903,95352.4282340056,TRUE,2,22,70,1,0.615384615384615,0.314285714285714,0.478260869565217,1,0.191666666666667,0.36697247706422,0.536912751677852,4.82366077454418e-05,2.90447091633415,0.128918777879427,54.3776200432659,112,-192138.363209334,-191622.584148504,1,1,0.615384615384615,"specific_effect_common6_specific4",10,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC + refit",4,NA,87.9046391920254,0,NA,0.54673714548341,96558.8344938307,NA,TRUE,11,22,70,1,0.615384615384615,0.314285714285714,0.478260869565217,NA,NA,NA,NA,0.00022503414664064,3.29601252978901,0.518044543479178,55.201356013042,283,-191162.774243709,-189859.511081075,1,1,0.615384615384615,"specific_effect_common6_specific4",10,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC",4,NA,NA,NA,1.44992489189649,0.560456581270823,96417.2165879532,96184.45504711,TRUE,7,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,0.000155186041671708,6.03426591559753,0.278690807595307,53.881372263726,178,-191604.852736248,-190785.132443142,1,1,0.0384615384615385,"specific_effect_common6_specific4",10,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Eta centered path BIC + refit",4,NA,NA,NA,1.44992489189649,0.550962299454867,96442.9158973954,NA,TRUE,12,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,8.49490921379814e-05,2.69379225673975,0.205668693445488,54.689636618689,103,-192174.333001056,-191700.000471899,1,1,0.0384615384615385,"specific_effect_common6_specific4",10,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC",4,35.8001688641409,NA,NA,NA,0.522233999765722,96612.1176869223,96101.9161754754,TRUE,2,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,1,0.580555555555556,0.160642570281124,0.27681660899654,0.000129708100810986,1.42430862405796,0.304186118777162,55.294891474058,252,-191483.481043541,-190322.978156672,1,1,0.974358974358974,"specific_effect_common6_specific4",11,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Rossi path BIC + refit",4,35.8001688641409,NA,NA,NA,0.479977309180739,96652.9390113523,NA,TRUE,17,22,98,1,0.974358974358974,0.224489795918367,0.366666666666667,NA,NA,NA,NA,0.000301605359625224,2.98916958259191,0.711561216919237,55.41825016903,395,-190577.314687507,-188758.272464041,1,1,0.974358974358974,"specific_effect_common6_specific4",11,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"Separate 2D path/grid BIC",4,NA,68.8568156261252,4.61132409156494,NA,0.507254742241504,96498.5341157168,94687.0315684192,TRUE,2,22,76,1,0.692307692307692,0.289473684210526,0.448979591836735,1,0.247222222222222,0.310077519379845,0.473372781065089,7.11954779782366e-05,25.5888393836059,0.183267636916152,50.0467767757196,132,-192085.244534608,-191477.362070058,1,1,0.692307692307692,"specific_effect_common6_specific4",11,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
